"Masc, Sing, Free","Masc, Sing, Bound","Masc, Plural, Free","Masc, Plural, Bound","Fem, Sing, Free","Fem, Sing, Bound","Fem, Plural, Free","Fem, Plural, Bound"
!asud,!usud,!isudan,!isudan,!tasutt,!tsutt,!tisudin,!tsudin
asram,usram,isramn,isramn,,,,
,,,,!taduri,!tduri,,
,,,,!tamʒikrrt,!tmʒikrrt,,
awwaj,wawwaj,,,,,,
anggas,unggas,,,,,,
azlam,uzlam,,,,,,
!asgruʒʒm,!usgruʒʒm,,,,,,
askkujs,uskkujs,,,,,,
asnufl,usnufl,,,,,,
amχzni,umχzni,imχznaj,imχznaj,tamχznit,tamχznit,timχznaj,tmχznaj
alqqaʕ,ulqqaʕ,ilqqaʕn,ilqqaʕn,,,,
aʕwin,uʕwin,iʕwinn,iʕwinn,taʕwint,tʕwint,tiʕwinin,tʕwinin
awwas,wawwas,,,,,,
igidr,igidr,igidar,igidar,,,,
asmmum,,,,,,,
,,,,tismmji,tismmji,,
issgni,issgni,issgna(j),issgna(j),tissgnit,tssgnit,tissgna(j),tssgna(j)
anzl,unzl,,,,,,
amɦmaz,umɦmaz,,,,,,
anʁuz,unʁuz,,,,,,
asaqqʷs,usaqqʷs,isuqqas,isuqqas,tasaqqʷst,tsaqqʷst,tisuqqas,tsuqqas
afras,ufras,,,,,,
ifr,ifr,ifarran,ifarran,tifrt,tfrt,tifarrin,tfarrin
ifr,ifr,ifrawn,ifrawn,tifrt,tfrt,tifrawin,tfrawin
anrar,unrar,inrarn,inrarn,,,,
aluqqid,uluqqid,iluqqidn,iluqqidn,taluqqitt,tluqqitt,tiluqqidin,tluqqidin
!alʕjud,!ulʕjud,!ilʕjad,!ilʕjad,!alʕjutt,!lʕjutt,!ilʕjad,!lʕjad
!dls,!dls,,,,,,
,,,,talluzt,talluzt,tillwaz,tillwaz
aħbib,uħbib,iħbibn,iħbibn,taħbibt,tħbibt,tiħbibin,tħbibin
aɦwawi,uɦwawi,iɦwawin,iɦwawin,taɦwawit,tɦwawit,tiɦwawin,tiɦwawin
!imirzig,!imirzig,,,,,,
amddakkʷl,umddakkʷl,imddukkal,imddukkal,tamddakkʷll,tmddakkʷlt,timddukkal,tmddukkal
,,,,tiddukkla,tiddukkla,,
,,,,tajri,tajri,,
ħubban,ħubban,,,,,,
albbiʁ,ulbbiʁ,ilbbiʁn,ilbbiʁn,talbbiʁt,tlbbiʁt,tilbbiʁin,tlbbiʁin
,,,,!lɦdrt,!lɦdrt,,
,,,,targgimt,trggimt,tirggimin,trggimin
aqdim,uqdim,iqdimn,iqdimn,taqdimt,tqdimt,tiqdimin,tqdimin
160,,,,,,,
aʁjjul,uʁjjul,iʁʷjjal,iʁjjal,taʁʷjjult,tʁjjult,tiʁʷjjal,tʁʷjjal
!azʁa,!wazʁa,!azʁiwn,!azʁiwn,,,,
aχlχal,uχlχal,iχlχaln,iχlχaln,taχlχalt,tχlχalt,tiχlχalin,tχlχalin
asggʷas,usggʷas,isggʷasn,isggʷasn,,,,
lbriħ,lbriħ,,,,,,
177,,,,,,,
asadmr,usadmr,,,,,,
amgrud,umgrud,imgrad,imgrad,tamgrutt,tmgrutt,timgrad,tmgrad
addaj,waddaj,,,,,,
,,,,tadggʷat,tdggʷat,,
aʕrab,waʕrab,aʕrabn,aʕrabn,taʕrabt,taʕrabt,taʕrabin,taʕrabin
addag,waddag,,,,,,
aqarid,uqarid,iqaridn,iqaridn,,,,
alkkum,ulkkum,,,,,,
assʁʷli,ussʁʷli,,,,,,
azwag,uzwag,,,,,,
asnus,usnus,isnas,isnas,tasnust,tsnust,tisnas,tsnas
,,,,tuʃʃrka,tuʃʃrka,,
amʃʃrk,umʃʃrk,imʃʃrkn,imʃʃrkn,tamʃʃrkt,tmʃʃrkt,timʃʃrkin,tmʃʃrkin
aʃrik,uʃrik,iʃrikn,iʃrikn,taʃrikt,tʃrikt,tiʃrikin,tʃrikin
ankruf,unkruf,inkraf,inkraf,tankruft,tnkruft,tinkraf,tnkraf
!anbbarsu,!unbbarsu,!inbbursa,!inbbursa,!tanbbarsut,!nbbarsut,!tinbbursa,!tnbbursa
aziwal,uziwal,iziwaln,iziwaln,taziwalt,tziwalt,tiziwalin,tziwalin
asds,usds,isdas,isdas,tasdst,tsdst,tisdas,tsdas
,,,,!talfttrt,!tlfttrt,!tilfttrin,!tlfttrin
!aʃʃaħur,!uʃʃaħur,!iʃʃuħar,!iʃʃuħar,!taʃʃaħurt,!tʃʃaħurt,!tiʃʃuħar,!tʃʃuħar
!abukad,!ubukad,!ibukadn,!ibukadn,!tabukat,!bukatt,!tibukadin,!tbukadin
llɦf,llɦf,,,,,,
adraj,udraj,,,,,,
aduku,uduku,idukan,idukan,tadukut,tdukut,tidukin,tdukin
,,,,tarrast,tarrast,tarrasin,tarrasin
,,,,talajt,talajt,talajin,talajin
aʒgugl,uʒgugl,iʒgugal,iʒgugal,taʒguglt,tʒguglt,tiʒgugal,tiʒgugal
arras,warras,,,,,,
akur,ukur,ikurn,ikurn,takurt,takurt,tikurin,tikurin
196,,,,,,,
ukris,ukris,ukrisn,ukrisn,tukrist,tukrist,tukrisin,tukrisin
aʃddad,uʃddad,,,,,,
agra,ugra,igrwan,igrwan,tagra,tgra,tigrwin,tgrwin
amar,wamar,imariwn,ijmariwn,tamart,tamart,timariwin,timariwin
!aʃnid,!uʃnid,!iʃnad,!iʃnad,!taʃnitt,!tʃnitt,!tiʃnad,!tʃnad
!abrɦuʃ,!ubrɦuʃ,!ibrɦuʃn,!ibrɦuʃn,!tabrɦuʃt,!tbrɦuʃt,!tibrɦuʃtn,!tbrɦuʃin
