"Masc, Sing, Free","Masc, Sing, Bound","Masc, Plural, Free","Masc, Plural, Bound","Fem, Sing, Free","Fem, Sing, Bound","Fem, Plural, Free","Fem, Plural, Bound"
agajwar,ugajwar,igajwarn,igajwarn,,,,
izikr,izikr,izakarn,izakarn,tizikrt,tzikrt,tizakarin,tzakarin
adinan,udinan,idinann,idinann,,,,
!agttus,!ugttus,!igʷttas,!igʷttas,,,,
,,,,,,,
isk,yisk,askiwn,waskiwn,tiskt,tiskt,taskiwin,taskiwin
aʁzdis,uʁzdis,iʁzdisn,iʁzdisn,taʁzdist,tʁzdist,tiʁzdisin,tʁzdisin
asawn,usawn,isiwan,isiwan,tasawnt,tsawnt,tisiwan,tsiwan
!amggrd,!umggrd,!imggrad,!imggrad,!tamggrtt,!tmggrtt,!timggrad,!tmggrad
279,,,,,,,
,,,,tawrʁi,tawrʁi,,
aʁgʷmmi,uʁgʷmmi,iʁgʷmma,iʁgʷmma,taʁgʷmmit,tʁgʷmmit,tiʁgʷmma,tʁgʷmma
adasil,udasil,idasiln,idasiln,tadasilt,tdasilt,tidasilin,tdasilin
85,,,,,,,
abbaj,wabbaj,abbajn,wabbajn,tabbajt,tabbajt,tabbajin,tabbajin
asarag,usarag,isaragn,isaragn,tasaragt,tsaragt,tisaragin,tsaragin
,,,,tazzla,tazzla,,
,,,,tizzla,tizzla,,
,,,,tiʁira,tiʁira,,
agzzajlu,ugzzajlu,igzzujla,igzzujla,tagzzajlut,tgzzajlut,tigzzujla,tgzzujla
adllal,udllal,idllaln,idllaln,tadllalt,tdllalt,tidllalin,tdllalin
!asmsar,!usmsar,!ismsarn,!ismsarn,!tasmsart,!tsmsart,!tismsarin,!tsmsarin
,,,,tasksut,tsksut,tisksutin,tsksutin
ajjaw,wajjaw,ajjawn,wajjawn,tajjawt,tajjawt,tajjawin,tajjawin
,,,,tigni,tgni,,
asdl,usdl,isdal,isdal,tasdlt,tsdlt,tisdal,tsdal
asrgul,usrgul,isrgʷal,isrgval,tasrgult,asrgul,tisrgʷal,tisrgʷal
!afrsad,!ufrsad,!ifrsadn,!ifrsadn,!tafrsadt,!tfrsatt,!tifrsadin,!trsadin
aʕban,uʕban,iʕbann,iʕbann,taʕbant,tʕbant,tiʕbanin,tʕbanin
afaggu,ufaggu,ifugga,ifugga,tafaggut,tfaggut,tifugga,tfugga
,,,,taduli,taduli,,
1314,,,,,,,
,,,,timdllst,tmdllst,,
aqaʃʃa,uqaʃʃa,iqaʃʃatn,iqaʃʃatn,taqaʃʃa,tqaʃʃa,tiqaʃʃatin,tqaʃʃatin
,,,,taʁuzi,tʁuzi,,
,,,,taʁʷjjit,tʁʷjjit,,
!butztaz,!butztaz,id !butztaz,id !butztaz,,,,
ifif,ifif,,,,,,
abrraħ,ubrraħ,ibrraħn,ibrraħn,tabrraħt,tabrraħt,tibrraħin,tibrraħin
!anzad,!unzad,!inzadn,!inzadn,!tanzatt,!tnzat,!tinzadin,!tnzadin
aftas,uftas,iftasn,iftasn,,,,
agl,wagl,uglan,uglan,,,,
akʷlib,ukʷlib,ikʷlban,ikʷlban,takʷlibt,tkʷlibt,tikʷlbin,tikʷlbin
,,,,tafuri,tfuri,,
amumn,umumn,imumnn,amumn,tamumnt,tmumnt,timumnin,tmumnin
abuqqal,ubuqqal,ibuqqaln,abuqqal,tabuqqalt,tbuqqal,tibuqqalin,tbuqqalin
aqnqum,uqnqum,iqnqʷam,iqnqʷam,taqnqumt,tqnqumt,tiqnqʷam,tqnqʷam
anwal,unwal,inwaln,inwaln,tanwalt,tnwalt,tinwalin,tnwalin
,,,,tinwit,tnwit,,
!agruʒʒm,!ugruʒʒm,,,,,,
anas,wanas,anasn,wanasn,tanast,tanast,tanasin,tanasin
aχʷna,uχʷna,ixnwan,ixnwan,taχʷna,tχʷna,tixnwin,txnwin
!asud,!usud,!isudan,!isudan,!tasutt,!tsutt,!tisudin,!tsudin
,,,,tagnunnit,tgnunnit,tignunnaj,tignunnaj
afllaħ,ufllaħ,ifllaħn,ifllaħn,tafllaħt,tfllaħt,tifllaħin,tfllaħin
aħwajʃ,uħwajʃ,,,,,,
!aʒndid,!uʒndid,!iʒndidn,!iʒndidn,!taʒndit,!tʒnditt,!tiʒndidin,!tʒndidin
!aʒnʒid,!uʒnʒid,!iʒnʒidn,!iʒnʒidn,!taʒnʒitt,!tʒnʒitt,!iʒnʒidn,!tiʒnʒidin
asbbaqs,usbbaqs,isbbuqas,isbbuqas,tasbbaqst,tsbbaqst,tisbbuqas,tsbbuqas
asbbaqqs,usbbaqqs,isbbuqqas,isbbuqqas,tasbbaqqst,tsbbaqqst,tisbbuqqas,tsbbuqqas
476,,,,,,,
anggu,unggu,inggʷa,inggʷa,tanggut,tnggut,tinggʷa,tnggʷa
anfsad,unfsad,infsadn,infsadn,tanfsatt,tnfsatt,tinfsadin,tnfsadin
aʃrrig,uʃrrig,iʃrrign,iʃrrign,taʃrrigt,tʃrrigt,tiʃrrigin,tʃrrigin
,,iχarran,iχarran,,,,
afrak,ufrak,,,,,,
aʁuʒbu,uʁuʒbu,,,,,,
imkli,imkli,imklawn,imklawn,,,,
anwwaʃ,unwwaʃ,inwwaʃn,inwwaʃn,tanwwaʃt,tnwwaʃt,tinwwaʃin,tnwwaʃin
arw(w)aj,urw(w)aj,irw(w)ajn,irw(w)ajn,,,,
abʒwaj,ubʒwaj,ibʒwajn,ibʒwajn,,,,
485,,,,,,,
afukku,ufukku,,,,,,
azgn,uzgn,,,,,,
aχllu,uχllu,,,,,,
aχʷs,waχʷs,uχsan,uχsan,taχʷst,taχʷst,tuχsin,tuχsin
490,,,,,,,
azuzzr,uzuzzr,,,,,,
rrwa,rrwa,,,,,,
,,,,taʁuni,tʁuni,,
asitti,usitti,,,,,,
!abdan,!ubdan,!ibdann,!ibdann,,,,
!agʷʒdad,!ugʷʒdad,!igʷʒdadn,!igʷʒdadn,!tagʷʒdatt,!tgʷʒdatt,!tigʷʒdadin,!tgʷʒdadin
anakuf,unakuf,inukaf,inukaf,tanakuft,tnakuft,tinukaf,tnukaf
ukuf,wukuf,,,,,,
amggaru,umggaru,imggura,imggura,tamggarut,tmggarut,timggura,tmggura
uguz,wuguz,,,,,,
,,ikʷlan,ikʷlan,,,,
amnid,umnid,imnidn,imnidn,,,,
amzizal,umzizal,,,,,,
!adrig,!udrig,,,,,,
uggug,wuggug,uggugn,wuggug,tuggugt,tuggugt,tuggugin,tuggugin
bibi,bibi,,,,,,
imnsi,imnsi,imnsawn,imnsawn,,,,
,,unnan,wunnan,,,,
anʁubu,unʁubu,,,,,,
,,,,!tazit,!tazit,,
aʕʃari,uʕʃari,,,,,,
aʒllabi,uʒllabi,iʒlluba,iʒlluba,taʒllabit,tʒllabit,tiʒlluba,tiʒlluba
!adad,!udad,!idudan,!idudan,!tadatt,!tdatt,!tidudin,!tdudin
,,,,tikki,tikki,,
!aʁrud,!uʁrud,!iʁrad,!iʁrad,!taʁrutt,!tʁrutt,!tiʁrad,!tʁrad
,,,,ttwilta,ttwilta,,
!amħħad,!umħħad,,,,,,
!attan,!wattan,,,,,,
!angaz,!ungaz,,,,,,
abldi,ubldi,,,,,,
aklulu,uklulu,,,,,,
amrmd,umrmd,,,,,,
aʁatir,uʁatir,,,,,,
,,,,taʁlaʁal,taʁlaʁal,,
amsluʁ,umsluʁ,imslaʁ,imslaʁ,tamsluʁt,tmsluʁt,timslaʁ,tmslaʁ
amsluχ,umsluχ,imslaχ,imslaχ,tamsluχt,tmsluχt,timslaχ,tmslaχ
asraj,usraj,israjn,israjn,,,,
angi,ungi,,,,,,
assfld,ussfld,,,,,,
asħssu,usħssu,isħssutn,isħssutn,,,,
!abbaʒ,!ubbaʒ,,,,,,
alqaʒ,ulqaʒ,,,,,,
arra,warra,arratn,warratn,,,tirra,tirra
535,,,,,,,
535,,,,,,,
!abrbur,!ubrbur,!ibrburn,!ibrburn,,,,
538,,,,,,,
aluffi,uluffi,iluffan,iluffan,,,,
!anzid,!wanzid,!anzidn,!wanzidn,,,,
afrmaʃ,ufrmaʃ,ifrmaʃn,ifrmaʃn,tafrmaʃt,tfrmaʃt,tifrmaʃin,tfrmaʃin
!asfud,!usfud,,,,,,
,,,,takrrajt,takrrajt,,
,,,,tiʁrsi,tiʁrsi,,
udum,wudum,,,,,,
abrraj,ubrraj,,,,,,
,,,,lksibt,lksibt,,
!amħdar,!umħdar,!imħdarn,!imħdarn,!tamħdart,!tmħdart,!timħdarin,!timħdarin
akssab,ukssab,ikssabn,ikssabn,takssabt,tkssabt,tikssabin,tikssabin
,,,,tuggugt,tuggugt,,
,,,,taʒʒajt,taʒʒajt,,
,,,,tamdajt,tmdajt,,
afruri,afruri,,,,,,
,,,,tuttla,tuttla,,
!azbar,!azbar,,,,,,
!azbbar,!azbbar,!izbbarn,!izbbarn,!tazbbart,!tzbbart,!tizbbarin,!tzbbarin
alkkawsu,ulkkawsu,ilkkuwsa,ilkkuwsa,talkkawsut,tlkkawsut,tilkkuwsa,tilkkuwsa
agʷnfrru,agʷnfrru,,,,,,
,,,,tardazt,tardazt,tardazin,tardazin
arqqas,urqqas,irqqasn,irqqasn,tarqqast,trqqast,tirqqasin,trqqasin
!anazum,!unazum,!inuzam,!inuzam,!tanazumt,!tnazumt,!tinuzam,!tinuzam
,,,,talmbχχrt,talmbχχrt,talmbχχrin,talmbχχrin
agrur,ugrur,igʷrar,igʷrar,tagrurt,tgrurt,tigʷrar,tgʷrar
afrag,ufrag,ifrgan,ifrgan,,,,
ifrig,ifrig,ifrgan,ifrgan,,,,
!agʷmmad,!ugʷmmad,,,,,,
arba,warba,arbatn,warbatn,tarbat,tarbat,tarbatin,tarbatin
arbi,urbi,irbatn,irbatn,tarbit,trbit,tirbatin,trbatin
azzan,wazzan,tazzant,tazzant,tazzant,tazzant,tazzant,tazzant
agsus,ugsus,igʷsas,igʷsas,,,,
arwass,urwass,,,,,,
asnaj,usnaj,,,,,,
abzzag,ubzzag,,,,,,
afna,ufna,,,,,,
annuʁʃf,unnuʁʃf,,,,,,
annurʃif,unnurʃif,innurʃifn,innurʃifn,tannurʃift,tnnurʃift,tinnurʃifin,tnnurʃifin
,,,,tagrwazt,tagrwazt,,
agurzu,agurzu,,,,,,
ifggig,ifggig,ifggign,ifggign,tifggigt,tfggigt,tifggigin,tfggigin
inifif,inifif,inififn,inififn,tinifift,tnifift,tinififin,tinififin
amlɦuf,umlɦuf,imlɦufn,imlɦufn,tamlɦuft,tmlɦuft,timlɦufin,tmlɦufin
!ammulz,!ummulz,,,,,,
ankʃum,unkʃum,,,,,,
akʃʃum,ukʃʃum,,,,,,
1270,,,,,,,
856,,,,,,,
,,,,,,,
!atmmaʕ,!utmmaʕ,!itmmaʕn,!tmmaʕt,!tatmmaʕt,!ttmmaʕt,!titmmaʕin,!ttmmaʕin
!asifd,!usifd,,,,,,
!udnaj,!wudnaj,!udnajn,!wudnajn,!tudnajt,!tudnajt,!tudnajin,!tudnajin
azuraj,uzuraj,izurajn,izurajn,tazurajt,tzurajt,tizurajin,tzurajin
,,,,tazuri,tzuri,,
517,,,,!taʁrutt,!tʁrutt,,
iʁir,jiʁir,iʁariwn,jiʁariwn,tiʁirt,tiʁirt,tiʁariwin,tʁariwin
,,,,tazlft,tazlft,tizlfin,tzlfin
,,,,tazlaft,tzlaft,tizlafin,tzlafin
!aʕttar,!aʕttar,!iʕttarn,!iʕttarn,!taʕttart,!tʕttart,!tiʕttarin,!tʕttarin
asnnan,usnnan,isnnann,isnnann,tasnnant,tsnnant,tisnnanin,tsnnanin
!azzlum,!azzlum,,,,,,
!akrrad,!ukrrad,!ikrradn,!ikrradn,!takrratt,!tkrratt,!tikrradin,!tkrradin
601,,,,,,,
azmz,uzmz,izmaz,izmaz,,,,
azraw,uzraw,,,,,,
!rrgg,!rrgg,!largug,!largug,,,,
,,imallajn,imallajn,,,,
aʁʷlil,uʁʷlil,iʁʷliln,iʁʷliln,,,,
ismg,ismg,ismgan,ismgan,,,,
aʁʷndaf,uʁʷndaf,iʁʷndafn,iʁʷndafn,taʁʷndaft,tʁʷndaft,tiʁʷndafin,tʁʷndafin
busskka,busskka,id busskka,id busskka,,,,
assufʁ,assufʁ,,,,,,
,,,,tisi,tisi,tisitin,tisitin
!amʕdub,!umʕdub,!amʕdub,!amʕdub,!amʕdub,!amʕdub,!amʕdub,!amʕdub
anʕdub,unʕdub,anʕdub,anʕdub,anʕdub,anʕdub,anʕdub,anʕdub
afsar,ufsar,,,,,,
amda,umda,imdwan,imdwan,tamda,tmda,timdwin,tmdwin
,,,,tigzuli,tigzuli,,
amsad,umsad,,,,,,
alluqʒu,ulluqʒu,,,,,,
aslaw,uslaw,,,,,,
agusmu,ugusmu,,,,,,
,,,,turddm,turddm,,
!amrruj,!umrruj,imrrujn,!imrrujn,,,,
!abrajʃ,!ubrajʃ,!ibrajʃn,!ibrajʃn,!tabrajʃt,!tbrajʃt,!tibrajʃin,!tbrajʃin
itri,jitri,itran,itran,titrit,titrit,titratin,titratin
,,,,ddɦaʃt,ddɦaʃt,,
,,,,taʁufi,tʁufi,tiʁufiwin,tʁufiwin
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
asufʁ,usufʁ,,,,,,
amzwug,amzwug,imzwag,imzwag,tamzwugt,tmzwugt,timzwag,tmzwag
376,,,,,,,
amʕgaz,umʕgaz,imʕgazn,imʕgazn,tamʕgazt,tmʕgazt,timʕgazin,tmʕgazin
asnuntf,usnuntf,,,,,,
addad,waddad,,,,,,
!anggad,!unggad,,,,,,
amslaw,umslaw,imslawn,imslawn,tamslawt,tmslawt,timslawin,tmslawin
azʕajti,uzʕajti,izʕajtin,izʕajtin,tazʕajtit,tzʕajtit,tizʕajtijin,tzʕajtijin
,,,,taʁzut,tʁzut,,
!aʒʒakrar,!uʒʒakrar,,,,,,
aggʷrn,uggʷrn,,,,,,
asummr,usummr,,,,,,
,,,,!rrmujt,!rrmujt,,
anmgar,unmgar,inmgarn,inmgarn,tanmgart,tnmgart,tinmgarin,tnmgarin
imgr,imgr,imgran,imgran,,,,
asmmawd,ysmmawd,ismmiwad,ismmiwad,tasmmawtt,tsmmawtt,tismmiwad,tsmmiwad
anfluk,unfluk,inflak,inflak,tanflukt,tnflukt,tinflak,tnflak
,,,,tamʁart,tmʁart,timʁarin,tmʁarin
,,,,tamaziʁt,tmaziʁt,timaziʁin,tmaziʁin
,,,,!lfrmt,!lfrmt,,
asttiʁ,usttiʁ,isttʁan,isttʁan,tasttiʁt,tsttiʁt,tisttʁin,tsttʁin
,,,,tuqqna,tuqqna,,
,,,,turgla,turgla,,
aqʒʒuħ,uqʒʒuħ,,,,,,
aħʃtaw,uħʃtaw,,,,,,
!afrad,!ufrad,,,,,,
afraw,ufraw,ifrawn,ifrawn,,,,
!abrwag,!abrwag,,,,,,
664,,,,,,,
abaw,ubaw,ibawn,ibawn,tabawt,tbawt,tibawin,tbawin
isli,isli,islan,islan,tislit,tslit,tislatin,tslatin
,,,,!tazrzit,!tzrzit,!tizrzaj,!tzrzaj
,,iχχan,iχχan,,,,
aqurri,aqurri,,,,,,
akkʷrmis,akkʷrmis,,,,,,
abuzzig,abuzzig,,,,,,
azar,wazar,azarn,wazarn,tazart,tazart,tazarin,tazarin
671,,,,,,,
aknari,uknari,,,taknarit,tknarit,tiknarijin,tknarijin
ifili,ifili,ifalan,ifalan,tifilit,tfilit,tifalatin,tfalatin
,,,,tilmi,tilmi,,
,,,,,,tillmin,tillmin
,,,,tastajt,tstajt,tistajin,tstajin
usdid,usdid,,,,,,
,,,,tigira,tigira,,
,,,,,,,
,,,,,,,
aʒddig,uʒddig,iʒddign,iʒddign,taʒddigt,tʒddigt,tiʒddigin,tʒddigin
aʒʒig,uʒʒig,iʒʒign,iʒʒign,taʒʒigt,tʒʒigt,tiʒʒigin,tʒʒigin
asif,wasif,isafn,isafn,,,,
asdasi,usdasi,isdasin,isdasin,tasdasit,tsdasit,tisdasin,tsdasin
,,,,tasa,tasa,taswin,taswin
aχχlu,uχχlu,,,,,,
anufl,unufl,,,,,,
alim,walim,ilamn,jilamn,,,,
afssaj,ufssaj,,,,,,
,,,,tagant,tagant,taganin,taganin
!anud,!wanud,!unad,!wunad,!anutt,!tanutt,!tunad,!tunad
amzil,umzil,imziln,imziln,tamzilt,tmzilt,timzilin,tmzilin
!agʷdi,!ugʷdi,!igʷdjan,!igʷdjan,!tagʷdit,!tgʷdit,!tigʷdjin,!tgʷdjin
amχlaw,umχlaw,imχlawn,imχlaw,tamχlawt,tmχlawt,timχlawin,tmχlawin
anafal,unafal,inafaln,inafaln,tanafalt,tnafalt,tinafalin,tnafalin
azfl,uzfl,izflan,izflan,tazflt,tzflt,tizflin,tzflin
!afrran,!ufrran,!ifrrann,!ifrrann,!tafrrant,!tfrrant,!tifrranin,!tfrranin
afarnu,ufarnu,ifurna,ifurna,tafarnut,tfarnut,tifurna,tfurna
,,,,tazrt,tazrt,tizar,tizar
,,,,taʁruʃt,tʁruʃt,tiʁuraʃ,tʁuraʃ
aʃawʃ,uʃawʃ,iʃiwaʃ,iʃiwaʃ,taʃawʃt,tʃawʃt,tiʃiwaʃ,tʃiwaʃ
abawʃ,ubawʃ,ibiwaʃ,ibiwaʃ,tabawʃt,tbawʃt,tibiwaʃ,tbiwaʃ
!udfi,!wudfi,!udfan,!wudfan,!tudfit,!tudfit,!tudfin,!tudfin
aʒwaj,aʒwaj,,,,,,
,,,,!tirzi,!tirzi,,
amrzu,umrzu,imrzan,imrzan,tamrzut,tmrzut,timrzin,tmrzin
azuzwu,azuzwu,,,,,,
,,,,tawnza,twnza,tiwnziwin,twnziwin
!azag,!uzag,!izagʷn,!izagʷn,,,,
agamrru,ugamrru,igumrra,igumrra,,,,
akʷrram,ukʷrram,,,,,,
!asmmid,!usmmid,!ismdan,!ismdan,,,,
ildi,ildi,ildjan,ildjan,,,,
ignzi,ignzi,ignziwn,ignziwn,,,,
ammas,wammas,,,,,,
aħukku,uħukku,iħukkutn,iħukkutn,taħukkut,tħukkut,tiħukkutin,tħukkutin
ablʁuʃ,ublʁuʃ,iblʁaʃ,iblʁaʃ,tablʁuʃt,tblʁuʃt,tiblʁaʃ,tiblʁaʃ
,,,,tarula,trula,,
akmmaj,ukmmaj,ikmmajn,ikmmajn,takmmajt,tkmmajt,tikmmajin,tkmmajin
amkajfi,umkajfi,imkajfin,imkajfin,tamkajfit,tmkajfit,timkajfijin,tmkajfijin
asbajsi,usbajsi,isbajsin,isbajsin,tasbajsit,tsbajsit,tisbajsijin,tsbajsijin
amazir,imazir,imzran,imzran,,,,
!izdi,!izdi,!izdjan,!izdjan,!izdit,!tzdit,!tizdjan,!tzdjan
!amʃttr,!umʃttr,!imʃttrn,!imʃttrn,!tamʃttrt,!tmʃttrt,!timʃttrin,!tmʃttrin
amrwl,umrwl,imrwal,imrwal,tamrwlt,tmrwlt,timrwal,tmrwal
askarkaz,uskarkaz,iskarkazn,iskarkazn,taskarkazt,tskarkazt,tiskarkazin,tskarkazin
amssggar,umssggar,imssggarn,imssggarn,,,,
,,,,!tagʷrist,!tgʷrist,!tigʷrisin,!tgʷrisin
,,,,tuʁrift,tuʁrift,tuʁrifin,ttuʁrifin
awlal,uwlal,iwlaln,iwlaln,,,,
afruχ,ufruχ,ifrχan,ifrχan,tafruχt,tfruχt,tifrχin,tfrχin
aʕjjal,uʕjjal,iʕjjaln,iʕjjaln,taʕjjalt,tʕjjalt,tiʕjjalin,tʕjjalin
!tidaf,!tidaf,,,,,,
aʕssas,uʕssas,iʕssasn,iʕssasn,taʕssast,tʕssast,tiʕssasin,tʕssasin
andaf,undaf,indafn,indafn,tandaft,tndaft,tindafin,tndafin
adaf,wadaf,,,,,,
amazzal,umazzal,imazzaln,imazzaln,tamazzalt,tmazzalt,timazzalin,tmazzalin
!azwaj,!uzwaj,!izwajn,!izwajn,,,,
!amzwaj,!umzwaj,!imzwajn,!imzwajn,!tamzwajt,!tmzwajt,!timzwajin,!tmzwajin
!aznkʷd,!uznkʷd,!iznkʷad,!iznkʷad,!taznkʷtt,!tznkʷtt,!tiznkʷad,!tznkʷad
afar,wafar,,,,,,
!adggʷal,!udggʷal,!idulan,!idulan,!tadggʷalt,!tdggʷalt,,
,,,,tannukmut,tnnukmut,,
afud,ufud,ifaddn,ifaddn,tafutt,tfutt,tifaddin,tfaddin
amadaʁ,umadaʁ,imadaʁn,imadaʁn,tamadaʁt,tmadaʁt,timadaʁin,tmadaʁin
affursl,uffursl,iffursal,iffursal,taffurslt,tffurslt,tiffursal,tffursal
747,,,,,,,
aɦakur,uɦakur,iɦukar,iɦukar,taɦakurt,tɦakurt,tiɦukar,tɦukar
!admmil,!udmmil,!idmmiln,!idmmiln,!tadmmilt,!tdmmilt,!tidmmilin,!tdmmilin
amrriq,umrriq,imrriqn,imrriqn,tamrriqt,tmrriqt,timrriqin,tmrriqin
!atbbil,!utbbil,!itbbiln,!itbbiln,!tatbbilt,!ttbbilt,!titbbilin,!ttbbilin
akʷba,ukʷba,ikʷbatn,ikʷbatn,,,,
,,,,tigri,tgri,,
amgru,umgru,imgra,imgra,tamgrut,tmgrut,timgra,tmgra
imgri,imgri,imgran,imgran,timgrit,tmgrit,timgrin,tmgrin
alʁʷrraf,ulʁʷrraf,ilʁʷafn,ilʁʷafn,talʁʷrraft,tlʁʷrraft,tilʁʷafin,tlʁʷafin
,,,,!tifizza,!ttfizza,,
,,,,taqqajt,taqqajt,taqqajin,taqqajin
agʷmim,ugmim,igʷmimn,igʷmimn,tagʷmimt,tgʷmimt,tigʷmimin,tgʷmimin
ugmimt,wugmim,ugmimn,wugmimn,tugmimt,tugmimt,tugmimin,tugmimin
761,,,,,,,
agllus,ugllus,igʷllas,igʷllas,tagllust,tgllust,tigʷllas,tgʷllas
imqqi,imqqi,imqqa,imqqa,timqqit,tmqqit,timqqa,tmqqa
,,,,tasaddamt,tsaddamt,tisaddamin,tsaddamin
,,,,!taznit,!tznit,!tiznin,!tznin
aqqa,waqqa,aqqajn,waqqajn,taqqat,taqqat,taqqajin,taqqajin
,,urkimn,urkimn,,,,
,,,,,,tirufin,trufin
,,,,tadunt,tadunt,,
asddul,usddul,isddal,isddal,tasddult,tsddult,tisddal,tsddal
ɦrrandu,ɦrrandu,id ɦrrandu,id ɦrrandu,,,,
aduħan,uduħan,iduħann,iduħann,taduħant,tduħant,tiduħanin,tduħanin
iʃnbi,iʃnbi,iʃnba,iʃnba,tiʃnbit,tʃnbit,tiʃnba,tʃnba
issgni,issgni,issgna,issgna,tissgnit,tssgnit,tissgna,tssgna
iχibi,iχibi,iχibitn,iχibitn,tiχibit,tχibi,tiχibitin,iχibitin
aʁruʃ,uʁruʃ,iʁʷraʃ,iʁrʷaʃ,taʁruʃt,tʁruʃt,tiʁʷraʃ,tʁrʷaʃ
704,,,,,,,
ibrgmmi,ibrgmmi,ibrgmmitn,ibrgmmitn,,,,
afala,ufala,ifalatn,ifalatn,tafala,tfala,tifalatin,tfalatin
,,,,taʁrart,taʁrart,,
,,,,tiʁzi,tiʁzi,,
akʷmmaz,ukʷmmaz,ikʷmmazn,ikʷmmazn,,,,
agadir,ugadir,igudar,igudar,tagadirt,tgadirt,tigudar,tgudar
agru,ugru,igʷra,igʷra,,,,
!ikizzi,!ikizzi,!ikazzan,!ikazzan,,,,
786,,,,,,,
akajja,ukajja,ikajjatn,ikajjatn,takajjat,tkajjat,tikajjatin,tkajjatin
aka,waka,akatn,wakatn,,,,
!adnaj,!udnaj,!idnajn,!idnajn,!tadnajt,!ddnajt,!tidnajin,!ddnajin
!aʃfri,!uʃfri,!iʃfraj,!iʃfraj,,,,
704,,,,,,,
764,,,,,,,
abbankik,ubbankik,ibbankikn,ibbankikn,,,,
ifrsi,ifrsi,ifrsaj,ifrsaj,tifrsit,tfrsit,tifrsaj,trsaj
ifri,ifri,ifran,ifran,tifrit,tfrit,tifrin,tfrin
!akabar,!ukabar,!ikabarn,!ikabarn,,,,
asaka,usaka,isakatn,isakatn,,,,
amdaj,umdaj,imdajn,imdajn,,,,
aχmum,uχmum,iχmʷam,iχmʷam,taχmumt,tχmumt,tiχmʷam,tχmʷam
agamum,ugamum,igumam,igumam,tagamumt,tgamumt,tigumam,tgumam
aqʃʃab,uqʃʃab,iqʃʃban,iqʃʃban,taqʃʃabt,tqʃʃabt,tiqʃʃbin,tqʃʃbin
amzdaʁ,umzdaʁ,imzdaʁn,imzdaʁn,tamzdaʁt,tmzdaʁt,timzdaʁin,tmzdaʁin
,,,,tuzdʁt,tuzdʁt,,
,,,,timlsit,tmlsit,,
,,,,tamjurt,tamjurt,,
anmjur,unmjur,inmjurn,inmjurn,tanmjurt,tnmjurt,tinmjurin,tnmjurin
aʃaqqur,uʃaqqur,iʃuqqar,iʃuqqar,taʃaqqurt,tʃaqqurt,tiʃuqqar,tʃuqqar
aħajk,uħajk,iħujak,iħujak,taħajkt,tħajkt,tiħujak,tħujak
!adwwar,!udwwar,!idwwarn,!idwwarn,!tadwwart,!tdwwart,!tidwwarin,!tdwwarin
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
