Order,Titre_Texte,SOUND,MORPHEMES,M-GLOSS,CATEGORY
110.0,aHttab,jan,[ja-n],[one:M],
111.0,aHttab,!ttir,[!ttir],[a bird],N
112.0,aHttab,inʁat,[i-nʁ-a-t],[3MS-kill:pf-itself],V
113.0,aHttab,u!smmid,[u-!smmid],[SMCS-cold],N
114.0,,New_Sentence,New_Sentence,New_Sentence,
115.0,aHttab,inna,[i-nna],[3MS-say:pf],V
116.0,aHttab,awa,[awa],[so],
117.0,aHttab,balak,[balak],[spread:ao 2S],V
118.0,aHttab,ʁilad,[ʁilad],[deic],
119.0,aHttab,!ttir,[!ttir],[a bird],N
120.0,aHttab,at,[ad],[AD:Comp],
121.0,aHttab,t,[t],[Obj:3S],
122.0,aHttab,asiʁ,[asi-ʁ],[take away:ao-1S],V
123.0,aHttab,at,[ad],[AD:Comp],
124.0,aHttab,t,[t],[Obj:3S],
125.0,aHttab,awiʁ,[awi-ʁ],[bring:ao-1S],V
126.0,aHttab,i,[i],[to],
127.0,aHttab,ddrari,[ddrari],[children],N
128.0,aHttab,mas,[ma-s],[what-with],
129.0,aHttab,at,[ad],[AD:Comp],
130.0,aHttab,tlʕabn,[t-lʕab-n],[3MS-play:ao],V
131.0,aHttab,at,[ad],[AD:Comp],
132.0,aHttab,tun,[tu-n],[forget:ao-3MS],V
133.0,aHttab,lmakla,[l-makla],[food],N
134.0,,New_Sentence,New_Sentence,New_Sentence,
135.0,aHttab,aʃku,[aʃku],[because],
136.0,aHttab,ntta,[ntta],[him],
137.0,aHttab,mskin,[mskin],[poor],N
138.0,aHttab,!llah,[!llah],[God],N
139.0,aHttab,krim,[krim],[generous],
140.0,aHttab,ʁ,[ʁ],[at],
141.0,aHttab,tgmmi,[t-gmmi],[FSCS-house],N
142.0,aHttab,ħtta,[ħtta],[even if],
143.0,aHttab,aħanu,[a-ħanu],[MFSS-store],N
144.0,aHttab,llχzin,[ll-χzin],[the shop],N
145.0,aHttab,ur,[ur],[neg],
146.0,aHttab,sul,[sul],[not yet],
147.0,aHttab,gis,[gi-s],[loc:3MS],
148.0,aHttab,jat,[jat],[nothing],
149.0,aHttab,asggwas,[a-sggwas],[MFSS-year],N
